Product,Category,Features
Aveeno Skin Brightening Daily Scrub,cleansers,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Paraben', 'Bad for Oily Skin']"
Origins Mega-Mushroom Skin Relief Face Cleanser,cleansers,"['Acne-Fighting', 'Bad for Sensitive Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Good for Sensitive Skin', 'Bad for Sensitive Skin', 'Fungal Acne Trigger', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Silicone', 'Fungal Acne Trigger', 'Allergens', 'Brightening']"
Clinique Facial Soap Mild,cleansers,"['Good for Dry Skin', 'Bad for Oily Skin', 'UV Protection']"
Mamonde Lotus Micro Cleansing Foam,cleansers,"['Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'UV Protection']"
Garnier Nutritioniste Clean + Purifying Foam Cleanser,cleansers,"['Brightening', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Allergens', 'Allergens']"
GOODAL Phytowash Yerba Mate Cleansing Foam,cleansers,"['Fungal Acne Trigger', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Bad for Sensitive Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Bad for Sensitive Skin', 'Good for Sensitive Skin', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
Olay 4 in 1 Daily Facial Cloths - Normal,cleansers,"['Anti-Aging', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Anti-Aging', 'Paraben', 'Bad for Oily Skin', 'Allergens', 'Paraben', 'Good for Sensitive Skin']"
Heimish All Clean White Clay Foam,cleansers,"['Fungal Acne Trigger', 'Bad for Sensitive Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Sensitive Skin', 'Bad for Sensitive Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Bad for Oily Skin', 'Acne-Fighting', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Bad for Sensitive Skin', 'Fungal Acne Trigger']"
BOTANIC FARM Grain Ferment Cleansing Sherbet,cleansers,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger']"
HOLIKA HOLIKA Smooth Egg Skin Charcoal Egg Soap,cleansers,"['Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Comedogenic Rating (2)', 'Bad for Oily Skin', 'UV Protection']"
NATURE REPUBLIC Jeju Sparkling Cleansing Water,cleansers,"['Promotes Wound Healing', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging']"
Whamisa Organic Flowers Cleansing Water,cleansers,"['Acne-Fighting', 'Bad for Sensitive Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Bad for Dry Skin']"
MUJI Mild Cleansing Oil,cleansers,"['Bad for Oily Skin', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Anti-Aging', 'Fungal Acne Trigger', 'Paraben', 'Paraben']"
"Shiseido Pureness Refreshing Cleansing Sheets, Oil-Free, Alcohol-Free",cleansers,"['Good for Dry Skin', 'Anti-Aging', 'Bad for Sensitive Skin', 'Paraben']"
Pyunkang Yul Acne Facial Cleanser,cleansers,"['Acne-Fighting', 'Promotes Wound Healing', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Anti-Aging', 'Good for Oily Skin', 'Good for Oily Skin']"
Olay Ultra Moisture Bar,cleansers,"['Bad for Oily Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Comedogenic Rating (1)', 'UV Protection']"
Aveeno Daily Cleansing Pads,cleansers,"['Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Sulfate', 'Anti-Aging', 'Fungal Acne Trigger', 'Paraben', 'Paraben', 'Paraben', 'Paraben', 'Paraben']"
Sulwhasoo Snowise Brightening Cleansing Foam,cleansers,"['Acne-Fighting', 'Brightening', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'UV Protection']"
Clinique Facial Soap Oily,cleansers,"['Good for Dry Skin', 'Comedogenic Rating (1)', 'Good for Oily Skin', 'UV Protection']"
Olay Daily Facials Gentle Clean 4-in-1 Water Activated Cleansing Cloths Fragrance-Free,cleansers,"['Anti-Aging', 'Promotes Wound Healing', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Paraben', 'Bad for Oily Skin', 'Allergens', 'Paraben']"
Dermalogica Skin Prep Scrub,cleansers,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Comedogenic Rating (2)', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Anti-Aging', 'Anti-Aging', 'Fungal Acne Trigger', 'Allergens', 'Good for Sensitive Skin', 'UV Protection']"
Dove MEN+CARE Deep Clean Body and Face Bar,cleansers,"['Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Sulfate', 'UV Protection']"
"Dove MEN + CARE Body and Face Wash, Sensitive Skin",cleansers,"['Bad for Oily Skin', 'Bad for Oily Skin']"
INNISFREE Apple Seed Lip & Eye Make Up Remover,cleansers,"['Good for Dry Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Comedogenic Rating (2)', 'Good for Oily Skin', 'Silicone']"
Cetaphil Gentle Cleansing Antibacterial Bar for Skin,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'UV Protection']"
Safi Dermasafe Gentle Care Mousse Cleanser,cleansers,"['Acne-Fighting', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging']"
CosRX One Step Green Hero Calming Pad,cleansers,"['Anti-Aging', 'Promotes Wound Healing', 'Bad for Sensitive Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Good for Oily Skin']"
LUSH Herbalism,cleansers,"['Bad for Sensitive Skin', 'Good for Sensitive Skin', 'Good for Dry Skin']"
Dermalogica Clear Start Breakout Clearing Foaming Wash,cleansers,"['Acne-Fighting', 'Bad for Sensitive Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Acne-Fighting', 'Good for Oily Skin', 'Fungal Acne Trigger']"
Olay Regenerist Luminous Brightening Foaming Cleanser,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Good for Dry Skin', 'Brightening', 'Anti-Aging', 'Bad for Oily Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
Olay Regenerist Luminous Foaming Cleanser,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Good for Dry Skin', 'Brightening', 'Anti-Aging', 'Bad for Oily Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
Olay Regenerist Luminous Brightening Cream Cleanser,cleansers,"['Comedogenic Rating (2)', 'Comedogenic Rating (2)', 'Brightening', 'Bad for Oily Skin', 'Good for Dry Skin', 'Anti-Aging', 'Comedogenic Rating (2)', 'Anti-Aging', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Comedogenic Rating (2)']"
Dermalogica Multivitamin Thermafoliant,cleansers,"['Acne-Fighting', 'Promotes Wound Healing', 'Anti-Aging', 'Acne-Fighting', 'Anti-Aging', 'Fungal Acne Trigger', 'Anti-Aging', 'Anti-Aging', 'Good for Oily Skin', 'Anti-Aging', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Acne-Fighting']"
Dove MEN+CARE Extra Fresh Body and Face Bar,cleansers,"['Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Sulfate', 'UV Protection']"
Clinique Acne Solutions Cleansing Bar for Face and Body,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Bad for Oily Skin', 'UV Protection']"
Dermalogica Daily Clean Scrub,cleansers,"['Fungal Acne Trigger', 'Acne-Fighting', 'Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Bad for Sensitive Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Anti-Aging', 'Fungal Acne Trigger', 'Allergens', 'Bad for Oily Skin', 'UV Protection']"
Sebamed Liquid Face and Body Wash,cleansers,"['Fungal Acne Trigger', 'Brightening', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Sulfate', 'Bad for Oily Skin', 'Good for Oily Skin']"
St. Ives Oatmeal Gentle Smoothing Scrub & Mask,cleansers,"['Good for Dry Skin', 'Anti-Aging', 'UV Protection']"
Clinique Rinse-Off Foaming Cleanser,cleansers,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin']"
Cetaphil Gentle Cleansing Bar for Skin,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'UV Protection']"
Fancl Mild Cleansing Oil,cleansers,"['Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Anti-Aging', 'Silicone', 'Fungal Acne Trigger']"
Bioderma Sensibio H2O,cleansers,"['Good for Dry Skin', 'Good for Dry Skin']"
Pyunkang Yul Cleansing Foam,cleansers,"['Fungal Acne Trigger', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Fungal Acne Trigger']"
Shiseido Future Solution LX Extra Rich Cleansing Foam,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Allergens', 'Allergens', 'Allergens', 'Allergens']"
Estee Lauder Perfectly Clean Multi-Action Foam Cleanser/Purifying Mask,cleansers,"['Bad for Oily Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Bad for Oily Skin']"
Neutrogena Body Clear Body Scrub,cleansers,"['Fungal Acne Trigger', 'Good for Sensitive Skin', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Sulfate', 'Anti-Aging', 'Good for Sensitive Skin']"
Bioderma Sensibio Foaming Gel,cleansers,"['Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Anti-Aging', 'Anti-Aging', 'Fungal Acne Trigger']"
Clinique 7 Day Scrub Cream Rinse-Off Formula,cleansers,"['Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Comedogenic Rating (2)', 'Good for Dry Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Paraben', 'Paraben', 'Paraben', 'Paraben', 'Brightening']"
Olay Pro-X Exfoliating Renewal Cleanser,cleansers,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
"Neutrogena The Transparent Facial Bar, Acne-Prone Skin Formula",cleansers,"['Bad for Oily Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Anti-Aging', 'Comedogenic Rating (2)']"
Banila Co. Clean It Zero Radiance,cleansers,"['Fungal Acne Trigger', 'Fungal Acne Trigger', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Paraben', 'Comedogenic Rating (2)']"
Vanicream Gentle Facial Cleanser for Sensitive Skin,cleansers,['Good for Dry Skin']
The Body Shop Tea Tree 3 in 1 Wash Scrub Mask,cleansers,"['Bad for Sensitive Skin', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Acne-Fighting', 'Acne-Fighting', 'Anti-Aging', 'Anti-Aging', 'Bad for Oily Skin', 'Bad for Dry Skin', 'Fungal Acne Trigger', 'UV Protection']"
"Neutrogena Transparent Facial Bar, Face Wash & Cleanser Original",cleansers,"['Good for Dry Skin', 'Anti-Aging', 'Comedogenic Rating (2)']"
Aveeno Positively Radiant Skin Brightening Daily Scrub,cleansers,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Paraben', 'Bad for Oily Skin']"
Neutrogena Oil-Free Cleansing Wipes-Pink Grapefruit,cleansers,"['Good for Dry Skin', 'Acne-Fighting', 'Good for Oily Skin', 'Bad for Dry Skin']"
Atomy Foam Cleanser,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Paraben']"
Estee Lauder Advanced Night Micro Cleansing Balm,cleansers,"['Bad for Oily Skin', 'Promotes Wound Healing', 'Anti-Aging', 'Allergens']"
belif Crystal cleansing foam fresh,cleansers,"['Bad for Oily Skin', 'Promotes Wound Healing', 'Bad for Oily Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Allergens', 'Allergens']"
MUJI Oil Cleansing (Sensitive Skin Series),cleansers,"['Anti-Aging', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging']"
Neutrogena Skin Detox Clansing Clay Mask 2in1,cleansers,"['Promotes Wound Healing', 'Anti-Aging', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Acne-Fighting', 'Anti-Aging']"
DUETUS Face wash,cleansers,"['Acne-Fighting', 'Promotes Wound Healing', 'Bad for Sensitive Skin', 'Acne-Fighting', 'Anti-Aging', 'Allergens']"
Dr. Barbara Sturm Cleanser,cleansers,"['Promotes Wound Healing', 'Acne-Fighting', 'Anti-Aging', 'Anti-Aging', 'Allergens', 'Good for Sensitive Skin']"
Yadah Anti Trouble Bubble Cleanser,cleansers,"['Good for Dry Skin', 'Acne-Fighting', 'Good for Oily Skin']"
Clinique Take the Day Off Cleansing Oil,cleansers,"['Good for Dry Skin', 'Fungal Acne Trigger', 'Anti-Aging', 'Fungal Acne Trigger']"
Simple Kind to Skin Hydrating Cleansing Oil,cleansers,"['Bad for Oily Skin', 'Bad for Oily Skin', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Anti-Aging', 'Anti-Aging']"
St. Ives Calming Chamomile Daily Cleanser,cleansers,"['Promotes Wound Healing', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging']"
Laneige Multi Cleanser_EX,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Oily Skin', 'Fungal Acne Trigger']"
Laneige Multi Cleanser for All Skin,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin']"
KLAIRS Gentle Black Sugar Facial Polish,cleansers,"['Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Acne-Fighting']"
SKINFOOD Rice Brightening Cleansing Tissue,cleansers,"['Bad for Oily Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin']"
SKINFOOD Milk Shake Point Make-Up Remover,cleansers,"['Good for Dry Skin', 'Good for Dry Skin', 'Silicone', 'Fungal Acne Trigger', 'Paraben']"
Dermalogica Travel Size Daily Microfoliant,cleansers,"['Acne-Fighting', 'Fungal Acne Trigger', 'Acne-Fighting', 'Acne-Fighting', 'Anti-Aging', 'Good for Oily Skin', 'Good for Oily Skin']"
Mario Badescu Botanical Exfoliating Scrub,cleansers,"['Good for Dry Skin', 'Comedogenic Rating (2)', 'Good for Oily Skin', 'Bad for Oily Skin', 'Comedogenic Rating (2)', 'Good for Sensitive Skin']"
Acne.org Cleanser,cleansers,"['Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Good for Oily Skin', 'Fungal Acne Trigger']"
Avene Cold Cream Ultra Rich Cleansing Bar,cleansers,"['Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Paraben', 'Comedogenic Rating (2)', 'Comedogenic Rating (2)', 'UV Protection']"
Whamisa Organic Flowers Foaming Gel,cleansers,"['Acne-Fighting', 'Comedogenic Rating (2)', 'Comedogenic Rating (2)', 'Bad for Oily Skin', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Good for Oily Skin']"
Nuxe Rve De Miel Facial Cleansing and Make-up Remover Gel,cleansers,"['Anti-Aging', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Anti-Aging', 'Anti-Aging', 'Good for Oily Skin']"
Dermalogica Travel Size PreCleanse,cleansers,"['Bad for Sensitive Skin', 'Fungal Acne Trigger', 'Bad for Sensitive Skin', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Anti-Aging', 'Fungal Acne Trigger', 'Anti-Aging', 'Fungal Acne Trigger', 'Bad for Sensitive Skin', 'Allergens', 'Allergens', 'Allergens']"
Drunk Elephant JuJu Bar,cleansers,"['Comedogenic Rating (2)', 'Fungal Acne Trigger', 'UV Protection']"
Youth To The People Kale Spinach Green Tea Age Prevention Cleanser,cleansers,"['Promotes Wound Healing', 'Good for Sensitive Skin', 'Anti-Aging', 'Anti-Aging', 'Fungal Acne Trigger', 'Good for Sensitive Skin']"
"Clean & Clear Makeup Dissolving Facial Cleansing Wipes, Oil-Free",cleansers,"['Fungal Acne Trigger', 'Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Bad for Sensitive Skin', 'Silicone']"
Korres Greek Yoghurt Foaming Cream Cleanser,cleansers,"['Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Good for Dry Skin', 'Comedogenic Rating (1)', 'Fungal Acne Trigger', 'UV Protection']"
Neutrogena Hydro Boost Gentle Cleansing Lotion,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
Aveeno Positively Radiant Daily Cleansing Pads,cleansers,"['Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Paraben', 'Paraben', 'Paraben', 'Paraben', 'Paraben']"
Garden of Eden Rosa T Mild Cleanser,cleansers,"['Good for Oily Skin', 'Good for Sensitive Skin']"
Olay Total Effects Revitalizing Foaming Cleanser,cleansers,"['Fungal Acne Trigger', 'Brightening', 'Bad for Oily Skin', 'Good for Dry Skin', 'Anti-Aging', 'Bad for Oily Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
Whamisa Organic Flowers Cleansing Oil,cleansers,"['Acne-Fighting', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Bad for Sensitive Skin', 'Good for Dry Skin', 'Fungal Acne Trigger']"
Whamisa Organic Flowers Foam Cleansing Cream,cleansers,"['Acne-Fighting', 'Comedogenic Rating (2)', 'Comedogenic Rating (2)', 'Bad for Oily Skin', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Good for Sensitive Skin']"
Biore Skin Care Facial Foam Acne Care,cleansers,"['Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'UV Protection']"
Clinique For Men Face Soap with Dish,cleansers,"['Good for Dry Skin', 'Bad for Oily Skin', 'UV Protection']"
fresh Soy Face Cleanser,cleansers,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Anti-Aging', 'Anti-Aging', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Paraben', 'Paraben', 'Paraben', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Paraben', 'Paraben', 'Paraben', 'Paraben', 'Good for Sensitive Skin']"
Shiseido Pureness Deep Cleansing Foam,cleansers,"['UV Protection', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Bad for Sensitive Skin', 'Comedogenic Rating (1)', 'Good for Oily Skin']"
derma e Microdermabrasion Scrub With Dead Sea Salt,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Comedogenic Rating (2)', 'Good for Dry Skin', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Bad for Sensitive Skin', 'Anti-Aging']"
L'Oreal Paris Revitalift Dermo Expertise Radiant Smoothing Cream Cleanser,cleansers,"['Fungal Acne Trigger', 'Brightening', 'Good for Dry Skin', 'Acne-Fighting', 'Paraben', 'Paraben', 'Allergens', 'Allergens', 'Allergens', 'Paraben', 'Paraben', 'Paraben', 'UV Protection']"
Garnier Nutritioniste The Radiance Renewer Cleansing Gelee,cleansers,"['Good for Dry Skin', 'Acne-Fighting', 'Bad for Oily Skin', 'Allergens', 'Allergens', 'Comedogenic Rating (2)', 'Allergens', 'Allergens', 'Good for Oily Skin']"
"Origins Checks and Balances, Frothy Face Wash",cleansers,"['Bad for Sensitive Skin', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Allergens']"
INNISFREE Olive Real Cleansing Foam,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Oily Skin', 'Fungal Acne Trigger']"
Wardah Perfect Bright Tone Up Micellar Water,cleansers,"['Brightening', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Comedogenic Rating (2)', 'Good for Oily Skin']"
Bioderma Sensibio H2O Micellar Water,cleansers,"['Good for Dry Skin', 'Good for Dry Skin']"
Drunk Elephant Peekee Bar,cleansers,"['Comedogenic Rating (2)', 'Good for Dry Skin', 'UV Protection']"
"Neutrogena The Transparent Facial Bar, Original Formula",cleansers,"['Good for Dry Skin', 'Anti-Aging', 'Comedogenic Rating (2)']"
L'Oreal Paris Revitalift Radiant Smoothing Cream Cleanser,cleansers,"['Fungal Acne Trigger', 'Brightening', 'Good for Dry Skin', 'Acne-Fighting', 'Paraben', 'Paraben', 'Allergens', 'Allergens', 'Allergens', 'Paraben', 'Paraben', 'Paraben', 'UV Protection']"
First Aid Beauty Gentle Cleansing Wipes,cleansers,"['Acne-Fighting', 'Good for Dry Skin', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Oily Skin', 'Good for Sensitive Skin', 'Brightening']"
THE FACE SHOP Herb Day 365 Cleansing Foam - Acerola,cleansers,"['Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Good for Dry Skin']"
Clean & Clear Triple Clear Exfoliating Scrub,cleansers,"['Good for Dry Skin', 'Acne-Fighting', 'Sulfate', 'Good for Oily Skin', 'Good for Sensitive Skin']"
Clinique City Block Purifying Charcoal Cleansing Gel,cleansers,"['Good for Dry Skin', 'Good for Dry Skin', 'Sulfate', 'Anti-Aging']"
Purito Centella Green Level All In One Mild Pad,cleansers,"['Acne-Fighting', 'Promotes Wound Healing', 'Acne-Fighting', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Bad for Oily Skin']"
